Case.ID,Task.Label,Timestamp,Salary,Amount,Coverage,Cost,AssessmentType,AssessmentCost,Result
6,SubmitLoanApplication,2018-10-16T12:07:00.031+11:00,41000,79000,,,,,
6,AssessApplication,2018-10-16T13:17:46.031+11:00,,,,,Simple,20,
6,CheckCareer,2018-10-16T13:47:05.031+11:00,,,13,,,,
6,CheckMedicalHistory,2018-10-16T14:03:06.031+11:00,,,,210,,,
6,NotifyOutcome,2018-10-16T14:43:13.031+11:00,,,,,,,Rejected
7,SubmitLoanApplication,2018-10-16T15:34:59.031+11:00,54000,57000,,,,,
7,AssessApplication,2018-10-16T16:59:19.031+11:00,,,,,Simple,70,
7,CheckCareer,2018-10-16T17:28:31.031+11:00,,,10,,,,
7,CheckMedicalHistory,2018-10-16T17:57:01.031+11:00,,,,110,,,
7,NotifyOutcome,2018-10-16T19:13:48.031+11:00,,,,,,,Rejected
8,SubmitLoanApplication,2018-10-16T21:00:24.031+11:00,48000,76000,,,,,
8,AssessApplication,2018-10-16T21:08:34.031+11:00,,,,,Simple,40,
8,CheckCareer,2018-10-16T22:55:52.031+11:00,,,13,,,,
8,CheckMedicalHistory,2018-10-16T23:04:28.031+11:00,,,,180,,,
8,NotifyOutcome,2018-10-16T23:18:32.031+11:00,,,,,,,Rejected
9,SubmitLoanApplication,2018-10-16T23:38:14.031+11:00,30000,52000,,,,,
9,AssessApplication,2018-10-17T00:20:01.031+11:00,,,,,Simple,80,
9,CheckCareer,2018-10-17T01:04:24.031+11:00,,,13,,,,
9,CheckMedicalHistory,2018-10-17T02:26:08.031+11:00,,,,190,,,
9,NotifyOutcome,2018-10-17T02:36:42.031+11:00,,,,,,,Rejected
10,SubmitLoanApplication,2018-10-17T03:46:28.031+11:00,48000,60000,,,,,
10,AssessApplication,2018-10-17T05:21:49.031+11:00,,,,,Simple,90,
10,CheckCareer,2018-10-17T05:34:51.031+11:00,,,13,,,,
10,CheckMedicalHistory,2018-10-17T05:43:02.031+11:00,,,,240,,,
10,NotifyOutcome,2018-10-17T06:36:57.031+11:00,,,,,,,Rejected
11,SubmitLoanApplication,2018-10-17T08:35:33.031+11:00,68000,91000,,,,,
11,AssessApplication,2018-10-17T09:39:59.031+11:00,,,,,Simple,20,
11,CheckCareer,2018-10-17T09:52:59.031+11:00,,,7,,,,
11,CheckMedicalHistory,2018-10-17T09:57:18.031+11:00,,,,280,,,
11,NotifyOutcome,2018-10-17T10:56:17.031+11:00,,,,,,,Rejected
12,SubmitLoanApplication,2018-10-17T13:39:27.031+11:00,40000,81000,,,,,
12,AssessApplication,2018-10-17T13:54:38.031+11:00,,,,,Simple,60,
12,CheckCareer,2018-10-17T14:21:52.031+11:00,,,8,,,,
12,CheckMedicalHistory,2018-10-17T14:56:33.031+11:00,,,,240,,,
12,NotifyOutcome,2018-10-17T15:22:05.031+11:00,,,,,,,Rejected
13,SubmitLoanApplication,2018-10-17T15:47:32.031+11:00,57000,86000,,,,,
13,AssessApplication,2018-10-17T17:28:50.031+11:00,,,,,Simple,60,
13,CheckCareer,2018-10-17T17:48:18.031+11:00,,,7,,,,
13,CheckMedicalHistory,2018-10-17T18:58:41.031+11:00,,,,110,,,
13,NotifyOutcome,2018-10-17T19:16:45.031+11:00,,,,,,,Rejected
14,SubmitLoanApplication,2018-10-17T19:49:06.031+11:00,29000,85000,,,,,
14,AssessApplication,2018-10-17T20:05:23.031+11:00,,,,,Simple,100,
14,CheckCareer,2018-10-17T21:05:05.031+11:00,,,13,,,,
14,CheckMedicalHistory,2018-10-17T21:35:07.031+11:00,,,,150,,,
14,NotifyOutcome,2018-10-17T23:01:08.031+11:00,,,,,,,Rejected
15,SubmitLoanApplication,2018-10-17T23:30:52.031+11:00,52000,56000,,,,,
15,AssessApplication,2018-10-18T00:31:24.031+11:00,,,,,Simple,60,
15,CheckCareer,2018-10-18T01:12:16.031+11:00,,,7,,,,
15,CheckMedicalHistory,2018-10-18T02:14:06.031+11:00,,,,140,,,
15,NotifyOutcome,2018-10-18T02:31:21.031+11:00,,,,,,,Rejected
16,SubmitLoanApplication,2018-10-18T04:30:29.031+11:00,46000,75000,,,,,
16,AssessApplication,2018-10-18T04:35:01.031+11:00,,,,,Simple,50,
16,CheckCareer,2018-10-18T05:20:04.031+11:00,,,15,,,,
16,CheckMedicalHistory,2018-10-18T05:41:07.031+11:00,,,,230,,,
16,NotifyOutcome,2018-10-18T05:50:59.031+11:00,,,,,,,Rejected
17,SubmitLoanApplication,2018-10-18T09:35:41.031+11:00,35000,54000,,,,,
17,AssessApplication,2018-10-18T09:49:56.031+11:00,,,,,Simple,60,
17,CheckCareer,2018-10-18T10:33:01.031+11:00,,,7,,,,
17,CheckMedicalHistory,2018-10-18T11:02:55.031+11:00,,,,120,,,
17,NotifyOutcome,2018-10-18T11:07:42.031+11:00,,,,,,,Rejected
18,SubmitLoanApplication,2018-10-18T11:57:41.031+11:00,65000,51000,,,,,
18,AssessApplication,2018-10-18T14:09:12.031+11:00,,,,,Simple,40,
18,CheckCareer,2018-10-18T14:38:24.031+11:00,,,8,,,,
18,CheckMedicalHistory,2018-10-18T15:04:30.031+11:00,,,,190,,,
18,NotifyOutcome,2018-10-18T15:16:26.031+11:00,,,,,,,Rejected
19,SubmitLoanApplication,2018-10-18T15:35:34.031+11:00,64000,72000,,,,,
19,AssessApplication,2018-10-18T15:51:42.031+11:00,,,,,Simple,50,
19,CheckCareer,2018-10-18T15:58:10.031+11:00,,,11,,,,
19,CheckMedicalHistory,2018-10-18T16:04:23.031+11:00,,,,290,,,
19,NotifyOutcome,2018-10-18T19:23:32.031+11:00,,,,,,,Rejected
20,SubmitLoanApplication,2018-10-18T20:00:12.031+11:00,32000,73000,,,,,
20,AssessApplication,2018-10-18T20:10:09.031+11:00,,,,,Simple,100,
20,CheckCareer,2018-10-18T20:10:44.031+11:00,,,14,,,,
20,CheckMedicalHistory,2018-10-18T22:13:41.031+11:00,,,,110,,,
20,NotifyOutcome,2018-10-18T23:27:40.031+11:00,,,,,,,Rejected
21,SubmitLoanApplication,2018-10-18T23:31:35.031+11:00,54000,77000,,,,,
21,AssessApplication,2018-10-18T23:34:52.031+11:00,,,,,Simple,20,
21,CheckCareer,2018-10-19T00:01:35.031+11:00,,,11,,,,
21,CheckMedicalHistory,2018-10-19T01:57:52.031+11:00,,,,110,,,
21,NotifyOutcome,2018-10-19T02:47:33.031+11:00,,,,,,,Rejected
22,SubmitLoanApplication,2018-10-19T03:54:15.031+11:00,50000,58000,,,,,
22,AssessApplication,2018-10-19T03:54:45.031+11:00,,,,,Simple,30,
22,CheckCareer,2018-10-19T04:30:50.031+11:00,,,6,,,,
22,CheckMedicalHistory,2018-10-19T06:55:35.031+11:00,,,,160,,,
22,NotifyOutcome,2018-10-19T07:08:36.031+11:00,,,,,,,Rejected
23,SubmitLoanApplication,2018-10-19T08:07:43.031+11:00,36000,80000,,,,,
23,AssessApplication,2018-10-19T08:25:55.031+11:00,,,,,Simple,60,
23,CheckCareer,2018-10-19T10:29:56.031+11:00,,,9,,,,
23,CheckMedicalHistory,2018-10-19T10:30:13.031+11:00,,,,150,,,
23,NotifyOutcome,2018-10-19T10:48:46.031+11:00,,,,,,,Rejected
24,SubmitLoanApplication,2018-10-19T11:36:54.031+11:00,35000,53000,,,,,
24,AssessApplication,2018-10-19T11:43:30.031+11:00,,,,,Simple,80,
24,CheckCareer,2018-10-19T12:57:57.031+11:00,,,15,,,,
24,CheckMedicalHistory,2018-10-19T13:07:26.031+11:00,,,,120,,,
24,NotifyOutcome,2018-10-19T15:24:09.031+11:00,,,,,,,Rejected
25,SubmitLoanApplication,2018-10-19T16:17:13.031+11:00,65000,55000,,,,,
25,AssessApplication,2018-10-19T16:19:11.031+11:00,,,,,Simple,20,
25,CheckCareer,2018-10-19T16:22:07.031+11:00,,,8,,,,
25,CheckMedicalHistory,2018-10-19T16:40:35.031+11:00,,,,230,,,
25,NotifyOutcome,2018-10-19T17:25:53.031+11:00,,,,,,,Rejected
26,SubmitLoanApplication,2018-10-19T20:50:24.031+11:00,46000,99000,,,,,
26,AssessApplication,2018-10-19T21:22:55.031+11:00,,,,,Simple,80,
26,CheckCareer,2018-10-19T21:40:04.031+11:00,,,7,,,,
26,CheckMedicalHistory,2018-10-19T22:05:50.031+11:00,,,,290,,,
26,NotifyOutcome,2018-10-19T23:00:42.031+11:00,,,,,,,Rejected
27,SubmitLoanApplication,2018-10-20T00:28:23.031+11:00,34000,78000,,,,,
27,AssessApplication,2018-10-20T01:07:10.031+11:00,,,,,Simple,90,
27,CheckCareer,2018-10-20T01:20:10.031+11:00,,,9,,,,
27,CheckMedicalHistory,2018-10-20T02:00:04.031+11:00,,,,210,,,
27,NotifyOutcome,2018-10-20T02:05:52.031+11:00,,,,,,,Rejected
28,SubmitLoanApplication,2018-10-20T04:56:26.031+11:00,27000,97000,,,,,
28,AssessApplication,2018-10-20T05:46:51.031+11:00,,,,,Simple,10,
28,CheckCareer,2018-10-20T06:39:26.031+11:00,,,14,,,,
28,CheckMedicalHistory,2018-10-20T06:48:49.031+11:00,,,,170,,,
28,NotifyOutcome,2018-10-20T07:14:30.031+11:00,,,,,,,Rejected
29,SubmitLoanApplication,2018-10-20T08:42:05.031+11:00,62000,74000,,,,,
29,AssessApplication,2018-10-20T10:24:17.031+11:00,,,,,Simple,50,
29,CheckCareer,2018-10-20T10:51:03.031+11:00,,,11,,,,
29,CheckMedicalHistory,2018-10-20T11:01:45.031+11:00,,,,200,,,
29,NotifyOutcome,2018-10-20T11:08:24.031+11:00,,,,,,,Rejected
30,SubmitLoanApplication,2018-10-20T12:12:34.031+11:00,50000,93000,,,,,
30,AssessApplication,2018-10-20T12:31:17.031+11:00,,,,,Simple,30,
30,CheckCareer,2018-10-20T13:37:09.031+11:00,,,15,,,,
30,CheckMedicalHistory,2018-10-20T14:59:16.031+11:00,,,,110,,,
30,NotifyOutcome,2018-10-20T15:27:20.031+11:00,,,,,,,Rejected
31,SubmitLoanApplication,2018-10-20T16:31:45.031+11:00,66000,92000,,,,,
31,AssessApplication,2018-10-20T16:45:34.031+11:00,,,,,Simple,60,
31,CheckCareer,2018-10-20T17:52:55.031+11:00,,,14,,,,
31,CheckMedicalHistory,2018-10-20T18:28:26.031+11:00,,,,220,,,
31,NotifyOutcome,2018-10-20T18:50:36.031+11:00,,,,,,,Rejected
32,SubmitLoanApplication,2018-10-20T20:32:32.031+11:00,44000,59000,,,,,
32,AssessApplication,2018-10-20T20:36:18.031+11:00,,,,,Simple,10,
32,CheckCareer,2018-10-20T20:36:58.031+11:00,,,6,,,,
32,CheckMedicalHistory,2018-10-20T20:52:19.031+11:00,,,,230,,,
32,NotifyOutcome,2018-10-20T22:48:52.031+11:00,,,,,,,Rejected
33,SubmitLoanApplication,2018-10-21T01:01:30.031+11:00,67000,83000,,,,,
33,AssessApplication,2018-10-21T01:36:52.031+11:00,,,,,Simple,50,
33,CheckCareer,2018-10-21T01:38:15.031+11:00,,,10,,,,
33,CheckMedicalHistory,2018-10-21T02:35:51.031+11:00,,,,120,,,
33,NotifyOutcome,2018-10-21T03:26:50.031+11:00,,,,,,,Rejected
34,SubmitLoanApplication,2018-10-21T04:07:58.031+11:00,44000,88000,,,,,
34,AssessApplication,2018-10-21T05:34:47.031+11:00,,,,,Simple,40,
34,CheckCareer,2018-10-21T05:49:10.031+11:00,,,15,,,,
34,CheckMedicalHistory,2018-10-21T06:36:23.031+11:00,,,,210,,,
34,NotifyOutcome,2018-10-21T07:21:24.031+11:00,,,,,,,Rejected
35,SubmitLoanApplication,2018-10-21T07:46:31.031+11:00,43000,84000,,,,,
35,AssessApplication,2018-10-21T08:13:07.031+11:00,,,,,Simple,80,
35,CheckCareer,2018-10-21T10:25:46.031+11:00,,,9,,,,
35,CheckMedicalHistory,2018-10-21T11:00:57.031+11:00,,,,170,,,
35,NotifyOutcome,2018-10-21T11:28:51.031+11:00,,,,,,,Rejected
36,SubmitLoanApplication,2018-10-21T12:17:19.031+11:00,35000,87000,,,,,
36,AssessApplication,2018-10-21T12:19:28.031+11:00,,,,,Simple,60,
36,CheckCareer,2018-10-21T12:50:52.031+11:00,,,6,,,,
36,CheckMedicalHistory,2018-10-21T13:33:14.031+11:00,,,,290,,,
36,NotifyOutcome,2018-10-21T13:53:04.031+11:00,,,,,,,Rejected
37,SubmitLoanApplication,2018-10-21T17:13:16.031+11:00,53000,96000,,,,,
37,AssessApplication,2018-10-21T17:15:12.031+11:00,,,,,Simple,40,
37,CheckCareer,2018-10-21T17:31:39.031+11:00,,,7,,,,
37,CheckMedicalHistory,2018-10-21T18:20:09.031+11:00,,,,270,,,
37,NotifyOutcome,2018-10-21T18:30:48.031+11:00,,,,,,,Rejected
38,SubmitLoanApplication,2018-10-21T19:41:56.031+11:00,46000,82000,,,,,
38,AssessApplication,2018-10-21T19:56:56.031+11:00,,,,,Simple,10,
38,CheckCareer,2018-10-21T21:47:30.031+11:00,,,10,,,,
38,CheckMedicalHistory,2018-10-21T22:08:06.031+11:00,,,,110,,,
38,NotifyOutcome,2018-10-21T22:17:43.031+11:00,,,,,,,Rejected
39,SubmitLoanApplication,2018-10-22T00:18:10.031+11:00,25000,69000,,,,,
39,AssessApplication,2018-10-22T00:39:48.031+11:00,,,,,Simple,40,
39,CheckCareer,2018-10-22T00:49:35.031+11:00,,,12,,,,
39,CheckMedicalHistory,2018-10-22T02:43:38.031+11:00,,,,220,,,
39,NotifyOutcome,2018-10-22T02:54:45.031+11:00,,,,,,,Rejected
40,SubmitLoanApplication,2018-10-22T03:53:15.031+11:00,65000,98000,,,,,
40,AssessApplication,2018-10-22T03:58:57.031+11:00,,,,,Simple,100,
40,CheckCareer,2018-10-22T04:29:04.031+11:00,,,14,,,,
40,CheckMedicalHistory,2018-10-22T05:11:05.031+11:00,,,,240,,,
40,NotifyOutcome,2018-10-22T06:15:33.031+11:00,,,,,,,Rejected
41,SubmitLoanApplication,2018-10-22T07:51:59.031+11:00,33000,94000,,,,,
41,AssessApplication,2018-10-22T08:00:35.031+11:00,,,,,Simple,40,
41,CheckCareer,2018-10-22T09:48:36.031+11:00,,,8,,,,
41,CheckMedicalHistory,2018-10-22T10:18:12.031+11:00,,,,110,,,
41,NotifyOutcome,2018-10-22T11:26:37.031+11:00,,,,,,,Rejected
42,SubmitLoanApplication,2018-10-22T12:05:59.031+11:00,39000,66000,,,,,
42,AssessApplication,2018-10-22T12:30:23.031+11:00,,,,,Simple,80,
42,CheckCareer,2018-10-22T13:07:44.031+11:00,,,6,,,,
42,CheckMedicalHistory,2018-10-22T14:26:20.031+11:00,,,,200,,,
42,NotifyOutcome,2018-10-22T14:38:02.031+11:00,,,,,,,Rejected
43,SubmitLoanApplication,2018-10-22T15:31:13.031+11:00,39000,65000,,,,,
43,AssessApplication,2018-10-22T17:14:05.031+11:00,,,,,Simple,20,
43,CheckCareer,2018-10-22T18:06:29.031+11:00,,,10,,,,
43,CheckMedicalHistory,2018-10-22T18:10:17.031+11:00,,,,140,,,
43,NotifyOutcome,2018-10-22T18:54:04.031+11:00,,,,,,,Rejected
44,SubmitLoanApplication,2018-10-22T20:44:05.031+11:00,34000,64000,,,,,
44,AssessApplication,2018-10-22T21:06:15.031+11:00,,,,,Simple,70,
44,CheckCareer,2018-10-22T22:14:50.031+11:00,,,9,,,,
44,CheckMedicalHistory,2018-10-22T22:29:21.031+11:00,,,,120,,,
44,NotifyOutcome,2018-10-22T22:35:15.031+11:00,,,,,,,Rejected
45,SubmitLoanApplication,2018-10-22T23:38:32.031+11:00,37000,63000,,,,,
45,AssessApplication,2018-10-23T02:16:18.031+11:00,,,,,Simple,60,
45,CheckCareer,2018-10-23T02:39:29.031+11:00,,,8,,,,
45,CheckMedicalHistory,2018-10-23T02:41:16.031+11:00,,,,200,,,
45,NotifyOutcome,2018-10-23T03:03:15.031+11:00,,,,,,,Rejected
46,SubmitLoanApplication,2018-10-23T04:05:41.031+11:00,42000,89000,,,,,
46,AssessApplication,2018-10-23T04:51:31.031+11:00,,,,,Simple,20,
46,CheckCareer,2018-10-23T05:04:25.031+11:00,,,9,,,,
46,CheckMedicalHistory,2018-10-23T05:16:04.031+11:00,,,,140,,,
46,NotifyOutcome,2018-10-23T05:57:30.031+11:00,,,,,,,Rejected
47,SubmitLoanApplication,2018-10-23T08:50:50.031+11:00,62000,62000,,,,,
47,AssessApplication,2018-10-23T09:10:34.031+11:00,,,,,Simple,20,
47,CheckCareer,2018-10-23T10:18:24.031+11:00,,,13,,,,
47,CheckMedicalHistory,2018-10-23T10:50:22.031+11:00,,,,160,,,
47,NotifyOutcome,2018-10-23T11:18:36.031+11:00,,,,,,,Rejected
48,SubmitLoanApplication,2018-10-23T14:33:20.031+11:00,33000,90000,,,,,
48,AssessApplication,2018-10-23T14:34:54.031+11:00,,,,,Simple,60,
48,CheckCareer,2018-10-23T14:39:34.031+11:00,,,9,,,,
48,CheckMedicalHistory,2018-10-23T15:17:54.031+11:00,,,,180,,,
48,NotifyOutcome,2018-10-23T15:27:14.031+11:00,,,,,,,Rejected
49,SubmitLoanApplication,2018-10-23T15:32:54.031+11:00,40000,68000,,,,,
49,AssessApplication,2018-10-23T16:15:41.031+11:00,,,,,Simple,20,
49,CheckCareer,2018-10-23T16:52:45.031+11:00,,,15,,,,
49,CheckMedicalHistory,2018-10-23T18:00:42.031+11:00,,,,300,,,
49,NotifyOutcome,2018-10-23T18:28:58.031+11:00,,,,,,,Rejected
50,SubmitLoanApplication,2018-10-23T19:43:27.031+11:00,60000,61000,,,,,
50,AssessApplication,2018-10-23T19:59:20.031+11:00,,,,,Simple,10,
50,CheckCareer,2018-10-23T21:47:59.031+11:00,,,12,,,,
50,CheckMedicalHistory,2018-10-23T22:47:15.031+11:00,,,,200,,,
50,NotifyOutcome,2018-10-23T23:18:40.031+11:00,,,,,,,Rejected
51,SubmitLoanApplication,2018-10-24T00:28:23.031+11:00,55000,67000,,,,,
51,AssessApplication,2018-10-24T00:52:35.031+11:00,,,,,Simple,30,
51,CheckCareer,2018-10-24T01:01:45.031+11:00,,,10,,,,
51,CheckMedicalHistory,2018-10-24T02:36:57.031+11:00,,,,110,,,
51,NotifyOutcome,2018-10-24T03:20:09.031+11:00,,,,,,,Rejected
52,SubmitLoanApplication,2018-10-24T03:37:23.031+11:00,30000,67000,,,,,
52,AssessApplication,2018-10-24T04:55:22.031+11:00,,,,,Simple,80,
52,CheckCareer,2018-10-24T05:35:55.031+11:00,,,1,,,,
52,CheckMedicalHistory,2018-10-24T06:07:43.031+11:00,,,,40,,,
52,NotifyOutcome,2018-10-24T06:44:35.031+11:00,,,,,,,Rejected
53,SubmitLoanApplication,2018-10-24T09:09:53.031+11:00,51000,95000,,,,,
53,AssessApplication,2018-10-24T09:16:30.031+11:00,,,,,Simple,10,
53,CheckCareer,2018-10-24T09:54:34.031+11:00,,,3,,,,
53,CheckMedicalHistory,2018-10-24T10:08:37.031+11:00,,,,90,,,
53,NotifyOutcome,2018-10-24T11:22:33.031+11:00,,,,,,,Rejected
54,SubmitLoanApplication,2018-10-24T11:32:44.031+11:00,58000,70000,,,,,
54,AssessApplication,2018-10-24T14:08:40.031+11:00,,,,,Simple,50,
54,CheckCareer,2018-10-24T14:10:50.031+11:00,,,3,,,,
54,CheckMedicalHistory,2018-10-24T15:10:11.031+11:00,,,,10,,,
54,NotifyOutcome,2018-10-24T15:20:31.031+11:00,,,,,,,Rejected
55,SubmitLoanApplication,2018-10-24T15:49:42.031+11:00,52000,71000,,,,,
55,AssessApplication,2018-10-24T15:55:29.031+11:00,,,,,Simple,10,
55,CheckCareer,2018-10-24T16:37:07.031+11:00,,,5,,,,
55,CheckMedicalHistory,2018-10-24T17:05:36.031+11:00,,,,60,,,
55,NotifyOutcome,2018-10-24T18:51:11.031+11:00,,,,,,,Rejected
56,SubmitLoanApplication,2018-10-24T19:33:27.031+11:00,55000,79000,,,,,
56,AssessApplication,2018-10-24T20:22:43.031+11:00,,,,,Simple,60,
56,CheckCareer,2018-10-24T21:00:19.031+11:00,,,2,,,,
56,CheckMedicalHistory,2018-10-24T22:26:27.031+11:00,,,,100,,,
56,NotifyOutcome,2018-10-24T23:15:23.031+11:00,,,,,,,Rejected
57,SubmitLoanApplication,2018-10-24T23:50:48.031+11:00,66000,57000,,,,,
57,AssessApplication,2018-10-25T00:16:38.031+11:00,,,,,Simple,100,
57,CheckCareer,2018-10-25T01:05:43.031+11:00,,,5,,,,
57,CheckMedicalHistory,2018-10-25T02:09:15.031+11:00,,,,80,,,
57,NotifyOutcome,2018-10-25T03:23:01.031+11:00,,,,,,,Rejected
58,SubmitLoanApplication,2018-10-25T04:04:52.031+11:00,63000,76000,,,,,
58,AssessApplication,2018-10-25T04:46:52.031+11:00,,,,,Simple,90,
58,CheckCareer,2018-10-25T05:46:52.031+11:00,,,2,,,,
58,CheckMedicalHistory,2018-10-25T06:23:22.031+11:00,,,,100,,,
58,NotifyOutcome,2018-10-25T07:14:54.031+11:00,,,,,,,Rejected
59,SubmitLoanApplication,2018-10-25T07:33:30.031+11:00,37000,52000,,,,,
59,AssessApplication,2018-10-25T08:21:30.031+11:00,,,,,Simple,20,
59,CheckCareer,2018-10-25T08:36:25.031+11:00,,,5,,,,
59,CheckMedicalHistory,2018-10-25T08:41:41.031+11:00,,,,20,,,
59,NotifyOutcome,2018-10-25T09:56:08.031+11:00,,,,,,,Rejected
60,SubmitLoanApplication,2018-10-25T11:52:56.031+11:00,65000,60000,,,,,
60,AssessApplication,2018-10-25T11:58:45.031+11:00,,,,,Simple,30,
60,CheckCareer,2018-10-25T13:04:02.031+11:00,,,3,,,,
60,CheckMedicalHistory,2018-10-25T13:25:36.031+11:00,,,,70,,,
60,NotifyOutcome,2018-10-25T14:44:14.031+11:00,,,,,,,Rejected
61,SubmitLoanApplication,2018-10-25T16:40:24.031+11:00,29000,91000,,,,,
61,AssessApplication,2018-10-25T17:17:08.031+11:00,,,,,Simple,90,
61,CheckCareer,2018-10-25T17:23:33.031+11:00,,,5,,,,
61,CheckMedicalHistory,2018-10-25T17:44:13.031+11:00,,,,80,,,
61,NotifyOutcome,2018-10-25T18:29:23.031+11:00,,,,,,,Rejected
62,SubmitLoanApplication,2018-10-25T20:40:44.031+11:00,63000,81000,,,,,
62,AssessApplication,2018-10-25T22:01:12.031+11:00,,,,,Simple,90,
62,CheckCareer,2018-10-25T22:11:56.031+11:00,,,1,,,,
62,CheckMedicalHistory,2018-10-25T22:32:28.031+11:00,,,,40,,,
62,NotifyOutcome,2018-10-25T22:37:21.031+11:00,,,,,,,Rejected
63,SubmitLoanApplication,2018-10-26T00:29:10.031+11:00,45000,86000,,,,,
63,AssessApplication,2018-10-26T00:46:59.031+11:00,,,,,Simple,10,
63,CheckCareer,2018-10-26T01:32:57.031+11:00,,,4,,,,
63,CheckMedicalHistory,2018-10-26T02:25:40.031+11:00,,,,40,,,
63,NotifyOutcome,2018-10-26T03:05:49.031+11:00,,,,,,,Rejected
64,SubmitLoanApplication,2018-10-26T04:51:51.031+11:00,56000,85000,,,,,
64,AssessApplication,2018-10-26T04:59:46.031+11:00,,,,,Simple,20,
64,CheckCareer,2018-10-26T06:07:55.031+11:00,,,2,,,,
64,CheckMedicalHistory,2018-10-26T07:02:44.031+11:00,,,,20,,,
64,NotifyOutcome,2018-10-26T07:13:14.031+11:00,,,,,,,Rejected
65,SubmitLoanApplication,2018-10-26T09:34:56.031+11:00,27000,56000,,,,,
65,AssessApplication,2018-10-26T09:36:24.031+11:00,,,,,Simple,30,
65,CheckCareer,2018-10-26T10:21:07.031+11:00,,,4,,,,
65,CheckMedicalHistory,2018-10-26T10:24:42.031+11:00,,,,20,,,
65,NotifyOutcome,2018-10-26T11:19:40.031+11:00,,,,,,,Rejected
66,SubmitLoanApplication,2018-10-26T12:38:01.031+11:00,57000,75000,,,,,
66,AssessApplication,2018-10-26T13:28:47.031+11:00,,,,,Simple,30,
66,CheckCareer,2018-10-26T14:35:52.031+11:00,,,4,,,,
66,CheckMedicalHistory,2018-10-26T14:44:21.031+11:00,,,,80,,,
66,NotifyOutcome,2018-10-26T15:11:09.031+11:00,,,,,,,Rejected
67,SubmitLoanApplication,2018-10-26T15:40:51.031+11:00,54000,54000,,,,,
67,AssessApplication,2018-10-26T15:58:02.031+11:00,,,,,Simple,70,
67,CheckCareer,2018-10-26T18:11:57.031+11:00,,,1,,,,
67,CheckMedicalHistory,2018-10-26T18:33:24.031+11:00,,,,10,,,
67,NotifyOutcome,2018-10-26T18:37:24.031+11:00,,,,,,,Rejected
68,SubmitLoanApplication,2018-10-26T19:51:15.031+11:00,40000,51000,,,,,
68,AssessApplication,2018-10-26T20:09:00.031+11:00,,,,,Simple,80,
68,CheckCareer,2018-10-26T20:09:46.031+11:00,,,4,,,,
68,CheckMedicalHistory,2018-10-26T21:50:25.031+11:00,,,,20,,,
68,NotifyOutcome,2018-10-26T22:17:14.031+11:00,,,,,,,Rejected
69,SubmitLoanApplication,2018-10-26T23:55:58.031+11:00,37000,73000,,,,,
69,AssessApplication,2018-10-27T00:26:41.031+11:00,,,,,Simple,90,
69,CheckCareer,2018-10-27T01:59:36.031+11:00,,,3,,,,
69,CheckMedicalHistory,2018-10-27T02:52:26.031+11:00,,,,90,,,
69,NotifyOutcome,2018-10-27T03:07:30.031+11:00,,,,,,,Rejected
70,SubmitLoanApplication,2018-10-27T03:49:20.031+11:00,31000,72000,,,,,
70,AssessApplication,2018-10-27T04:04:40.031+11:00,,,,,Simple,10,
70,CheckCareer,2018-10-27T05:30:10.031+11:00,,,1,,,,
70,CheckMedicalHistory,2018-10-27T06:46:37.031+11:00,,,,70,,,
